SrNo,Student Name,Class Test Marks,Assignment Marks,Attendance Marks,Mid Sem Marks,Final Exam
1,Patrick,9,9,9,28,92
2,Coby,9,9,9,30,98
3,Russell,5,4,4,14,60
4,Donovan,3,6,5,16,25
5,Louis,2,10,7,23,61
6,Brenda,2,5,5,22,61
7,Blythe,8,9,3,12,77
8,Brenden,0,5,10,15,74
9,Nadine,2,7,1,30,36
10,Flavia,7,2,2,22,51
11,Robert,5,9,2,30,67
12,Ignacia,7,3,3,0,43
13,Kimberley,4,1,6,20,60
14,Angela,4,6,2,20,59
15,Uta,7,3,2,14,94
16,Bertha,5,4,5,2,62
17,Daryl,2,2,9,30,64
18,Thor,9,6,6,26,58
19,Aurora,4,3,4,23,23
20,Cain,4,7,10,11,55
21,Len,7,7,1,22,92
22,George,6,5,5,23,52
23,Aspen,6,4,1,27,84
24,Roanna,9,4,9,13,84
25,Breanna,4,5,9,30,49
26,Roth,7,3,4,18,51
27,Valentine,0,9,2,1,43
28,Cassady,2,7,7,3,74
29,Prescott,7,7,7,27,54
30,Indira,0,8,2,24,91
31,Bertha,8,3,4,23,99
32,Reece,3,5,10,28,62
33,Allistair,9,5,8,8,12
34,Geoffrey,6,6,10,10,29
35,Noelani,5,10,0,14,34
36,Velma,5,10,4,17,54
37,Mikayla,5,9,6,5,17
38,Fritz,1,1,1,11,74
39,Carl,3,10,3,4,55
40,Mechelle,7,5,4,30,93
